ENSEMBL	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Case1	Case2	Case3	Case4	Case5	Case6	Case7	Case8
ENSG00000226548	0	1	0	1	2	2	4	2	1	1	2	0	0	2	0	10
ENSG00000233426	30	17	11	34	104	39	39	46	55	62	15	20	50	100	60	51
ENSG00000233845	0	0	0	2	3	1	0	8	0	0	1	2	1	8	1	5
ENSG00000116039	5	1	13	11	5	15	10	38	6	8	5	2	4	6	2	6
ENSG00000144040	49	22	69	53	138	84	115	237	107	142	34	42	64	106	260	165
ENSG00000286604	2	0	0	5	2	1	1	8	0	0	0	0	0	2	1	0
ENSG00000075292	110	68	43	141	251	143	94	168	235	329	102	80	106	171	533	176
ENSG00000219626	30	16	16	48	41	31	35	82	42	39	21	23	26	33	82	37
ENSG00000232973	23	24	34	81	58	48	33	119	24	7	12	14	27	23	46	29
ENSG00000232202	7	2	5	4	4	14	4	22	15	5	3	2	7	6	10	8
ENSG00000282998	4	4	2	12	5	7	1	7	3	0	1	7	2	3	0	9
ENSG00000272180	2	1	3	6	3	6	6	6	1	0	1	0	3	1	2	8
ENSG00000223522	5	4	12	21	12	4	13	45	14	6	6	0	3	5	22	17
ENSG00000119787	54	30	41	174	92	113	118	264	95	234	45	54	48	118	96	97
ENSG00000227791	0	1	1	0	5	2	5	12	2	3	1	2	4	0	27	16
ENSG00000285611	8	4	17	4	7	9	6	32	6	0	4	3	1	3	7	12
ENSG00000235997	13	6	36	48	30	21	17	90	6	4	5	1	4	11	1	17
ENSG00000116005	53	13	27	54	41	52	58	114	35	52	27	29	58	53	90	52
ENSG00000151779	71	57	43	66	122	145	72	156	181	294	87	91	96	128	192	164
ENSG00000223754	2	2	3	11	1	5	0	13	0	0	0	3	3	4	2	0
ENSG00000222005	8	10	17	15	8	26	12	42	4	5	10	5	3	5	1	21
ENSG00000275052	94	56	36	167	142	113	103	179	153	314	72	60	106	239	449	173
ENSG00000236348	12	14	3	19	13	17	2	17	11	12	8	5	6	11	16	10
ENSG00000231712	1	0	3	0	1	3	3	4	2	2	3	2	2	0	1	6
ENSG00000115902	38	33	52	70	108	76	42	152	56	124	19	35	63	112	88	63
ENSG00000068912	78	31	38	122	92	55	66	161	63	74	25	35	91	109	120	76
ENSG00000280257	10	7	11	27	8	20	10	66	2	5	4	0	9	4	0	1
ENSG00000226247	1	1	1	0	1	0	0	3	2	0	0	0	1	0	0	1
ENSG00000204792	19	5	20	18	19	28	17	60	8	8	9	9	14	8	12	15
ENSG00000231367	33	27	35	98	34	69	32	175	11	11	3	35	15	10	5	19
ENSG00000284932	1	0	0	1	0	1	3	1	0	0	0	1	0	0	2	1
ENSG00000115464	133	153	76	127	168	189	127	316	302	362	146	163	140	329	413	302
ENSG00000116035	7	8	4	7	12	18	6	33	15	17	9	5	13	5	16	10
ENSG00000236989	4	4	8	19	9	9	13	50	2	1	3	1	6	3	1	7
ENSG00000233829	1	2	4	3	0	3	1	8	0	0	3	2	0	0	2	0
ENSG00000287172	17	11	15	19	11	14	13	38	12	1	1	1	6	0	6	2
ENSG00000270996	2	2	3	0	0	2	0	3	0	0	0	0	2	1	0	1
ENSG00000237162	2	2	0	1	2	1	0	1	0	0	0	1	0	2	1	0
ENSG00000226186	2	0	3	2	1	4	2	6	1	0	0	0	0	1	0	0
ENSG00000228590	34	41	76	138	86	71	127	300	25	8	16	25	24	31	6	38
ENSG00000143971	35	29	9	30	25	50	27	48	50	89	19	20	25	53	58	60
ENSG00000227088	8	7	3	12	7	11	4	11	6	0	5	2	0	3	0	4
ENSG00000225815	7	4	1	22	1	8	3	5	0	0	0	0	3	2	0	2
ENSG00000152518	95	42	30	114	789	44	255	126	265	736	103	96	94	885	772	279
ENSG00000214595	55	43	52	117	96	106	60	235	102	62	47	64	42	89	71	116
ENSG00000233971	1	0	0	0	1	4	2	1	4	1	1	0	3	1	4	6
ENSG00000287468	2	1	0	3	6	2	2	4	0	1	0	0	1	1	1	0
ENSG00000226700	0	1	0	3	0	2	0	1	1	0	0	0	1	3	0	0
ENSG00000223739	1	6	11	2	6	7	13	26	3	0	0	0	4	2	0	5
ENSG00000232403	1	2	2	9	4	2	6	23	1	1	0	3	3	1	0	0
ENSG00000271356	2	2	0	2	4	5	1	4	0	0	0	1	0	0	0	0
ENSG00000213626	53	25	48	52	115	40	168	143	95	472	128	53	94	234	278	90
ENSG00000228414	24	14	28	47	31	44	41	84	9	4	10	6	7	10	7	14
ENSG00000171103	25	7	9	30	23	32	9	47	19	38	5	15	15	33	68	22
ENSG00000116031	5	12	5	23	17	24	6	34	15	20	14	19	5	13	23	14
ENSG00000243667	14	23	15	43	40	20	28	74	7	28	8	12	20	16	21	24
ENSG00000226819	20	11	12	21	13	12	14	34	0	4	1	4	2	8	0	2
ENSG00000229503	2	0	2	3	1	10	4	2	3	0	0	1	5	4	0	9
ENSG00000162927	35	31	36	67	54	76	47	106	83	51	28	46	31	56	94	54
ENSG00000235586	5	1	3	4	3	2	7	14	0	7	1	1	3	3	4	2
ENSG00000180398	38	15	18	35	62	61	30	61	75	143	28	24	64	156	159	94
ENSG00000243147	34	16	24	42	82	27	59	78	67	162	22	29	84	86	146	49
ENSG00000230587	12	1	11	6	11	8	16	47	19	2	7	3	8	6	16	5
ENSG00000186854	57	32	36	55	120	45	64	116	156	59	71	30	51	170	259	59
ENSG00000273196	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0
ENSG00000213553	59	9	9	51	177	31	112	81	156	319	48	45	186	311	225	44
ENSG00000228902	10	6	3	15	1	14	2	11	4	0	0	0	1	1	0	1
ENSG00000176732	19	1	16	20	8	13	18	46	14	11	14	13	9	10	30	35
ENSG00000227028	44	50	41	75	69	63	96	238	28	20	17	32	38	13	59	56
ENSG00000225045	3	1	1	7	9	6	2	3	4	1	0	3	2	3	0	0
ENSG00000115363	17	11	15	50	12	68	29	90	20	8	6	7	9	9	8	16
ENSG00000270210	3	0	3	5	3	2	4	7	5	2	0	0	0	1	7	0
ENSG00000143889	45	31	24	70	68	61	66	123	83	128	50	44	46	82	145	86
ENSG00000235885	31	15	23	49	29	24	23	47	13	6	11	10	15	5	10	18
ENSG00000168890	14	6	9	23	60	26	16	39	36	35	18	15	30	47	80	23
ENSG00000228925	4	0	4	3	4	3	5	8	6	5	3	2	1	2	7	15
ENSG00000239605	13	23	11	59	15	38	35	101	10	6	4	4	3	10	4	14
ENSG00000287145	4	5	11	34	15	13	16	57	3	2	1	5	8	11	2	10
ENSG00000115484	94	20	21	43	185	39	79	114	151	313	55	71	187	206	272	108
ENSG00000115946	20	13	15	17	49	21	14	28	36	65	19	15	43	66	44	46
ENSG00000231054	0	0	1	5	2	1	0	1	0	0	0	0	1	0	0	1
ENSG00000223977	1	2	0	5	3	6	0	4	3	2	4	2	3	2	4	1
ENSG00000124357	188	37	38	71	343	69	77	109	252	405	155	74	313	300	806	279
ENSG00000168906	51	20	16	23	145	22	61	37	82	500	54	29	41	145	385	159
ENSG00000227293	3	1	2	7	2	2	0	5	1	0	0	0	1	0	0	0
ENSG00000236259	5	5	2	15	6	10	4	16	2	5	1	3	2	2	2	1
ENSG00000231781	4	3	1	6	4	4	2	4	1	2	0	0	1	0	0	0
ENSG00000286524	4	4	4	8	5	9	1	9	3	1	1	4	0	3	2	7
ENSG00000138035	61	35	26	83	104	76	71	127	122	125	61	61	50	104	116	100
ENSG00000287123	0	4	2	8	4	7	5	19	3	1	2	0	0	0	2	0
ENSG00000119888	38	22	24	44	34	57	87	146	71	75	32	33	23	43	38	60
ENSG00000234653	2	0	1	0	0	0	1	2	0	0	1	1	2	1	0	3
ENSG00000285876	14	6	12	22	12	9	7	18	11	0	2	5	4	0	1	4
ENSG00000232285	1	2	0	5	1	2	2	9	1	0	0	0	0	0	0	0
ENSG00000163806	33	15	7	39	17	39	45	67	38	14	12	14	14	25	47	20
ENSG00000236209	4	0	2	4	1	13	4	20	0	3	3	0	7	0	1	0
ENSG00000285542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170577	5	1	0	1	9	8	1	27	14	14	5	7	4	8	5	7
ENSG00000235519	19	8	7	20	5	10	5	15	3	3	2	3	0	2	3	0
ENSG00000213605	21	8	43	60	18	25	62	136	2	2	5	5	2	1	1	12
ENSG00000138083	51	6	58	15	19	34	165	110	18	17	9	23	35	47	12	34
