ENSEMBL	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Case1	Case2	Case3	Case4	Case5	Case6	Case7	Case8
ENSG00000284662	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ENSG00000186827	14	14	10	8	39	14	22	40	137	26	38	10	26	61	31	12
ENSG00000186891	17	9	4	6	34	7	5	24	47	32	38	6	25	87	19	10
ENSG00000160072	58	31	50	56	184	72	75	225	157	217	99	82	67	346	179	95
ENSG00000041988	31	7	21	27	55	23	24	67	46	87	14	16	28	66	61	29
ENSG00000260179	0	0	4	0	6	2	3	1	7	1	0	0	0	8	11	9
ENSG00000234396	3	0	4	1	1	1	4	17	3	1	0	1	0	4	0	5
ENSG00000225972	28	26	18	16	108	388	97	124	543	105	67	110	61	66	1820	233
ENSG00000224315	1	2	3	14	9	7	2	19	3	0	2	0	2	2	0	0
ENSG00000198744	18	14	21	13	77	22	47	14	14	39	12	8	24	13	34	25
ENSG00000279928	3	2	6	0	4	2	2	11	8	9	3	3	6	0	7	5
ENSG00000228037	0	0	2	0	2	2	2	13	1	1	4	0	7	7	0	6
ENSG00000142611	33	10	16	12	53	84	50	213	78	72	35	49	27	67	79	63
ENSG00000225630	889	349	620	1077	934	885	4654	1800	804	1328	442	413	321	768	2033	757
ENSG00000067606	38	21	22	33	44	62	52	193	78	40	14	44	35	178	43	50
ENSG00000131584	116	32	36	67	291	90	81	238	200	455	155	59	63	243	446	111
ENSG00000227589	11	4	14	4	6	6	11	50	3	2	0	2	1	12	3	18
ENSG00000237402	0	2	2	14	2	2	3	9	1	0	0	0	1	3	0	1
ENSG00000284616	0	2	3	8	3	5	1	15	1	0	1	4	2	2	1	1
ENSG00000169972	25	6	3	2	42	44	14	23	82	66	23	11	33	50	72	26
ENSG00000157911	12	4	3	20	34	28	24	49	21	48	16	19	11	30	49	30
ENSG00000269896	3	1	2	1	4	6	2	28	9	12	5	7	4	27	5	4
ENSG00000237973	465	111	130	296	578	251	898	416	93	348	110	67	152	177	223	113
ENSG00000224051	15	6	5	23	56	19	27	35	47	86	32	11	22	53	115	20
ENSG00000228750	14	5	21	21	18	18	10	45	7	3	2	4	4	8	1	14
ENSG00000228463	4	6	18	13	9	16	10	31	8	7	3	6	2	9	77	4
ENSG00000238260	0	1	0	0	1	2	0	6	0	1	5	1	0	4	4	0
ENSG00000260972	3	0	6	8	2	8	3	22	3	1	0	0	0	5	0	2
ENSG00000157933	28	19	9	29	103	52	34	79	83	139	36	30	38	213	263	86
ENSG00000162591	61	26	18	28	120	122	64	380	166	122	57	34	39	106	310	65
ENSG00000224340	2	2	4	1	3	1	5	13	1	2	0	5	0	0	0	6
ENSG00000270035	2	0	0	0	1	0	0	6	3	0	0	1	1	0	0	0
ENSG00000169962	12	6	2	3	18	23	6	35	24	31	13	11	8	38	57	26
ENSG00000226545	7	9	4	6	6	3	4	28	1	3	1	2	0	4	0	4
ENSG00000233653	0	0	2	0	0	0	1	2	1	0	0	0	0	0	1	0
ENSG00000268663	2	0	0	0	2	10	0	2	4	0	0	1	2	0	0	0
ENSG00000226374	2	6	8	12	10	18	6	33	2	0	0	5	5	29	0	4
ENSG00000116285	15	6	6	22	11	31	6	33	16	24	15	17	11	26	29	27
ENSG00000229280	3	1	12	6	2	2	7	10	7	9	0	4	6	3	10	15
ENSG00000142655	35	22	19	56	74	57	31	136	68	104	39	23	40	96	133	57
ENSG00000232596	16	15	37	29	11	18	22	70	14	2	9	7	17	7	5	37
ENSG00000235054	1	1	4	12	4	8	5	37	5	0	3	1	2	2	2	1
ENSG00000232663	1	1	2	3	3	5	1	5	0	1	0	0	1	0	1	1
ENSG00000284646	5	3	3	6	1	4	8	22	2	0	0	0	0	6	1	4
ENSG00000240409	2	2	0	2	1	9	2	6	12	9	3	10	2	2	7	6
ENSG00000229344	11	8	4	6	20	11	32	25	28	17	8	22	8	15	15	15
ENSG00000231510	3	1	1	4	3	10	5	8	2	0	1	0	0	3	0	1
ENSG00000149527	37	24	9	17	119	97	43	201	93	86	123	40	30	96	123	48
ENSG00000284739	0	1	0	6	3	4	1	9	1	0	0	2	0	2	0	0
ENSG00000007923	52	45	44	89	92	91	71	169	65	175	35	52	46	123	115	67
ENSG00000171621	4	5	11	6	10	17	10	45	31	25	6	5	13	33	18	16
ENSG00000272235	2	0	0	4	2	5	5	33	1	0	0	2	2	5	1	0
ENSG00000236679	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1
ENSG00000284694	3	0	9	11	12	13	14	44	5	4	2	0	2	4	0	9
ENSG00000162441	52	27	34	59	75	37	55	80	66	166	41	23	100	118	133	74
ENSG00000230021	5	5	3	4	9	16	7	13	27	5	2	1	2	5	17	10
ENSG00000271264	0	1	0	1	4	0	0	0	0	0	1	2	1	1	0	3
ENSG00000287356	4	0	0	1	5	13	4	66	6	7	2	2	1	19	2	3
ENSG00000224387	1	0	0	0	1	1	1	7	0	4	3	0	0	2	0	0
ENSG00000187017	37	23	15	16	65	114	50	135	76	119	42	47	27	102	90	95
ENSG00000285629	0	0	0	1	0	1	0	5	0	0	0	5	0	2	0	0
ENSG00000173673	2	1	3	3	2	9	1	13	4	6	6	8	5	10	2	2
ENSG00000227372	21	3	7	16	49	7	24	61	31	73	17	9	14	94	81	28
ENSG00000142583	22	18	29	37	22	33	42	91	28	86	15	28	42	64	29	33
ENSG00000223663	0	1	1	1	0	0	1	4	2	0	3	0	0	0	0	7
ENSG00000107404	59	12	11	12	141	39	59	96	113	131	82	22	32	155	168	60
ENSG00000284674	3	0	4	10	3	11	9	46	2	1	2	0	6	0	0	3
ENSG00000177000	117	35	34	68	250	147	83	371	178	260	53	57	88	307	359	180
ENSG00000272161	4	2	8	2	0	1	11	54	1	0	0	1	4	5	0	0
ENSG00000237094	6	6	4	5	6	12	6	14	49	26	3	5	6	18	241	16
ENSG00000069424	321	40	76	142	672	125	220	428	375	555	251	104	192	697	1069	295
ENSG00000224338	0	1	6	0	0	0	6	6	1	0	0	0	1	0	0	8
ENSG00000074800	551	146	148	352	1885	197	439	371	1622	2651	667	343	1905	2104	4928	839
ENSG00000234546	6	3	11	6	7	14	26	65	19	4	3	5	13	18	3	26
ENSG00000116786	76	36	45	102	263	79	113	312	317	330	113	50	74	494	520	145
ENSG00000287727	7	1	2	9	5	12	1	27	7	3	1	1	2	7	2	5
ENSG00000176022	41	15	3	19	82	23	17	40	54	103	42	12	31	96	143	39
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228423	2	0	1	4	1	3	5	14	5	2	1	0	0	1	1	1
ENSG00000286448	4	1	4	7	0	2	5	9	0	0	0	1	2	2	2	5
ENSG00000162496	95	16	154	71	76	76	215	200	121	104	44	43	55	152	54	56
ENSG00000237365	0	2	4	3	2	1	2	16	0	1	0	0	3	2	0	0
ENSG00000131686	23	46	32	61	53	77	18	94	39	23	20	15	13	34	49	21
ENSG00000229305	3	3	7	12	8	9	7	18	2	0	1	4	1	7	0	5
ENSG00000284703	4	4	8	12	5	18	9	31	7	5	3	2	10	21	0	19
ENSG00000226457	2	4	2	3	4	6	3	4	4	1	5	1	4	14	11	6
ENSG00000162494	0	0	7	9	2	6	5	15	1	6	3	4	3	3	2	5
ENSG00000173614	14	18	10	18	14	18	8	24	25	34	17	14	6	16	71	28
ENSG00000248527	11630	2352	5198	8183	17161	2304	21546	7923	2034	5606	1957	1075	2015	3613	4950	1709
ENSG00000237728	3	6	4	16	9	11	10	24	8	0	0	0	1	6	0	3
ENSG00000215720	1	1	7	3	5	7	14	39	5	2	2	2	3	4	3	10
ENSG00000279804	8	28	14	30	28	56	38	53	41	23	9	13	14	14	24	32
ENSG00000116273	14	6	16	15	39	33	23	46	50	94	14	17	18	82	100	34
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285701	5	3	7	15	9	6	14	35	5	3	0	0	2	20	5	2
ENSG00000233623	9	12	20	56	30	30	56	112	5	3	6	12	3	6	4	2
ENSG00000162592	21	10	33	27	21	44	33	181	22	31	30	20	14	59	32	43
ENSG00000116254	67	44	58	62	93	117	96	464	97	75	49	90	61	268	140	76
ENSG00000049245	79	19	18	81	234	30	52	44	204	201	45	36	229	345	482	161
ENSG00000179743	27	4	22	19	24	16	32	30	20	39	17	10	35	56	61	20
ENSG00000233645	1	0	4	5	3	4	1	13	0	0	0	1	7	7	0	5
ENSG00000234064	0	0	0	3	4	5	1	5	4	2	0	0	1	2	0	5
ENSG00000204624	19	31	10	21	38	69	24	197	54	56	16	17	20	28	67	42
ENSG00000284708	9	12	55	32	19	25	59	139	0	2	8	2	7	25	1	6
ENSG00000171603	110	50	67	129	261	115	116	211	218	298	140	80	117	584	659	192
ENSG00000280113	5	4	13	6	0	4	12	36	5	2	3	5	5	15	2	11
ENSG00000142606	12	8	7	8	19	67	11	110	52	39	26	20	23	68	59	38
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177674	122	20	17	48	272	70	55	120	298	485	101	59	349	419	1039	154
ENSG00000162572	16	4	8	13	19	51	25	129	42	60	39	20	12	41	67	29
ENSG00000171608	168	64	44	133	458	89	172	340	552	531	265	106	185	858	2285	307
ENSG00000225931	1	0	0	0	2	3	0	22	3	3	0	3	1	7	2	5
ENSG00000236601	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0
ENSG00000171729	7	9	11	16	22	36	11	53	22	14	12	7	11	19	27	26
ENSG00000228150	2	4	8	21	0	8	6	16	4	2	3	1	1	12	2	3
ENSG00000175262	23	19	34	50	56	75	56	175	31	34	26	39	27	73	51	57
ENSG00000279457	20	10	7	17	30	10	21	42	68	84	57	11	21	52	119	21
ENSG00000162571	20	18	21	24	34	51	23	120	24	26	9	19	25	95	43	25
ENSG00000231181	3	0	0	3	8	6	2	7	2	1	2	1	1	5	5	1
ENSG00000238173	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	7
ENSG00000158109	47	6	23	20	119	28	40	47	80	411	19	27	96	152	249	46
ENSG00000229393	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0
ENSG00000269978	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000037637	73	58	106	188	191	122	76	220	94	127	62	31	65	153	140	85
ENSG00000184163	10	5	1	2	24	12	2	37	14	16	12	6	4	22	37	18
ENSG00000287586	0	0	2	0	4	8	2	27	2	0	1	0	3	5	1	0
ENSG00000159423	27	13	11	21	43	52	31	113	99	146	36	31	18	48	115	54
ENSG00000142599	129	92	128	207	315	241	231	559	337	325	146	103	104	607	831	263
ENSG00000227169	1	0	1	3	1	3	1	7	2	0	1	0	0	0	0	0
ENSG00000283356	1	1	1	0	1	3	1	2	2	0	0	1	1	0	0	0
ENSG00000011021	49	27	30	58	99	105	49	192	104	185	42	62	55	128	176	105
ENSG00000272482	7	0	9	9	2	5	12	13	5	1	2	3	3	7	0	2
ENSG00000284747	24	17	45	79	53	65	31	123	7	6	10	9	17	14	8	24
ENSG00000215912	18	12	4	9	37	42	23	133	30	31	13	17	18	57	44	27
ENSG00000120952	10	17	10	29	25	59	13	57	54	27	30	30	13	21	57	24
ENSG00000243073	7	11	7	23	11	23	11	28	37	32	17	24	15	8	60	31
ENSG00000142615	12	16	30	60	29	49	65	153	16	16	8	13	10	13	6	14
ENSG00000215704	10	12	15	43	28	47	17	89	27	20	12	7	17	10	14	12
ENSG00000065526	137	75	85	223	270	214	138	331	353	468	123	98	98	456	676	234
ENSG00000175756	103	23	26	69	299	67	127	98	276	451	124	68	315	320	431	95
ENSG00000229484	5	3	7	20	8	8	8	43	0	2	1	1	1	5	2	2
ENSG00000157916	74	16	8	15	202	14	51	49	147	292	86	53	209	230	465	90
ENSG00000157881	37	20	7	11	79	59	27	147	101	153	59	22	40	103	115	75
ENSG00000116213	34	18	16	28	83	29	19	83	55	144	55	25	51	127	167	61
ENSG00000283611	3	7	9	25	6	13	11	21	10	2	2	5	5	3	2	8
ENSG00000238290	8	4	8	42	6	12	8	20	3	0	3	2	6	5	1	11
ENSG00000225387	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
ENSG00000127463	52	37	32	69	103	75	79	212	101	175	58	54	89	130	242	95
ENSG00000048707	155	163	114	253	301	282	161	471	351	323	135	124	122	347	402	229
ENSG00000158748	16	9	29	23	22	30	30	95	23	15	3	20	13	46	32	26
ENSG00000235643	0	0	0	3	2	2	0	5	1	0	0	0	2	4	0	2
ENSG00000225196	0	1	2	1	1	0	4	21	0	0	1	1	0	4	0	5
ENSG00000130762	9	9	2	3	33	27	11	145	44	28	8	11	4	24	32	26
ENSG00000187144	38	37	59	103	63	101	70	245	61	28	21	43	33	41	61	58
ENSG00000162444	29	10	8	37	78	17	19	55	62	61	14	11	100	66	212	50
ENSG00000279169	1	1	2	2	4	20	2	18	3	6	3	4	2	6	3	7
ENSG00000279625	0	0	1	0	2	5	2	5	0	2	0	0	2	1	2	1
ENSG00000180758	26	16	17	43	41	43	28	113	23	20	17	10	27	22	37	37
ENSG00000231219	0	0	0	2	0	3	0	1	0	0	0	2	0	2	1	5
ENSG00000229010	7	6	7	15	9	6	6	37	3	0	0	0	3	6	4	0
ENSG00000184677	76	28	21	95	220	83	92	145	86	155	97	38	45	192	210	99
ENSG00000230679	0	1	6	4	0	0	0	3	1	0	0	0	2	3	0	3
ENSG00000270136	0	4	12	12	6	2	2	13	0	0	1	2	3	2	0	4
ENSG00000132879	47	23	27	25	146	29	52	84	68	88	127	28	33	174	103	53
ENSG00000187545	8	11	6	15	11	24	18	39	19	14	14	9	8	11	20	11
ENSG00000288398	11	9	29	11	17	10	8	56	8	25	8	13	9	39	23	21
ENSG00000224621	2	0	5	3	4	1	7	12	7	0	0	3	0	9	0	5
ENSG00000239810	11	25	7	26	13	59	10	49	58	26	36	15	16	22	34	20
ENSG00000285833	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000224459	5	4	15	9	4	6	3	19	2	0	0	4	1	34	0	2
ENSG00000116731	65	41	33	87	127	103	59	196	192	199	90	80	95	625	399	228
ENSG00000116721	6	10	1	18	12	39	8	32	59	24	10	16	9	21	29	37
ENSG00000215785	10	9	11	40	30	12	6	52	2	1	4	4	4	8	2	7
ENSG00000131697	23	16	19	35	79	113	39	291	98	130	41	49	47	140	134	72
ENSG00000284692	7	6	12	10	6	17	26	23	1	0	5	3	6	4	3	20
ENSG00000284745	0	0	0	0	2	2	0	19	0	1	3	0	4	4	0	2
ENSG00000225952	1	0	1	1	2	4	2	10	0	0	0	3	1	0	1	0
ENSG00000280222	1	0	4	2	3	12	3	42	4	0	3	5	0	3	1	2
ENSG00000088280	43	32	58	41	71	94	44	209	62	50	20	30	38	85	48	67
ENSG00000188807	18	10	9	7	51	75	11	133	47	98	40	30	29	86	64	47
ENSG00000284693	6	5	2	20	19	15	6	35	4	1	0	1	10	8	0	2
ENSG00000232298	1	2	1	1	6	7	3	11	0	0	0	3	0	0	0	0
ENSG00000227634	6	4	7	13	2	6	2	10	2	3	0	3	5	11	0	5
ENSG00000225315	1	2	7	6	1	2	4	10	1	0	2	0	3	0	1	8
ENSG00000198793	156	115	119	362	289	255	176	510	187	299	122	94	129	241	358	178
ENSG00000078900	47	29	87	16	44	98	69	196	61	48	14	44	23	44	53	36
ENSG00000142661	56	47	54	103	86	160	85	351	78	55	51	69	47	113	90	90
ENSG00000285945	1	0	0	1	0	2	0	4	1	0	5	0	1	6	0	0
ENSG00000171819	13	20	18	55	50	48	10	63	19	13	13	10	6	7	18	12
ENSG00000229162	0	0	3	2	4	7	2	13	0	0	0	0	3	15	2	2
ENSG00000197921	2	1	0	0	13	11	1	6	2	5	7	4	2	6	5	1
ENSG00000233755	0	2	3	3	0	0	1	6	0	0	1	5	0	1	0	4
ENSG00000116288	129	33	54	109	413	58	156	148	196	562	122	78	438	410	548	177
ENSG00000238164	2	7	5	3	30	19	16	81	9	16	35	3	16	23	43	12
ENSG00000233929	4	4	4	2	7	9	4	23	11	10	6	3	6	6	11	8
ENSG00000287810	0	0	0	0	2	1	8	6	0	0	1	1	0	4	0	0
ENSG00000271742	1	0	1	0	1	2	1	2	3	0	1	0	2	4	3	0
ENSG00000142677	12	12	6	28	25	48	21	76	23	15	11	12	6	22	17	22
ENSG00000131910	3	4	3	10	10	12	3	28	15	5	1	7	3	12	6	7
ENSG00000185436	49	40	48	71	42	66	138	354	19	40	21	33	25	77	37	61
ENSG00000131914	25	25	24	48	12	50	33	133	21	7	10	13	15	14	21	6
ENSG00000226396	6	9	11	16	23	18	14	38	13	12	6	8	21	19	44	10
ENSG00000232423	4	14	4	29	15	28	40	33	22	5	5	8	13	10	24	16
ENSG00000229247	0	0	0	0	2	1	2	2	0	0	0	1	1	0	0	1
ENSG00000169504	33	9	19	47	41	25	19	37	86	248	16	29	59	185	230	111
ENSG00000224311	7	4	21	42	15	7	8	42	4	1	1	6	4	6	0	13
ENSG00000225159	7	7	14	29	14	18	11	14	8	7	2	10	6	4	3	9
ENSG00000260063	4	0	15	14	8	7	7	16	7	2	9	3	5	4	3	25
ENSG00000272088	0	0	0	0	0	0	0	3	0	0	0	0	0	3	1	0
ENSG00000228338	1	5	2	8	1	2	2	9	1	0	0	0	0	0	0	2
ENSG00000270728	2	0	3	1	4	0	10	4	0	1	2	4	6	8	0	19
ENSG00000169641	33	28	27	101	84	92	36	121	71	89	37	34	27	77	116	63
ENSG00000181773	17	11	4	10	34	26	6	34	22	27	8	11	9	33	38	19
ENSG00000175707	10	10	13	16	26	15	17	44	21	12	2	10	8	18	26	15
ENSG00000241547	1	0	0	1	3	2	2	6	3	8	3	3	0	5	6	2
ENSG00000224129	17	5	35	20	13	13	24	49	3	4	6	4	9	5	8	15
ENSG00000234166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230228	1	2	2	4	0	1	2	6	2	0	2	0	1	0	3	1
ENSG00000237436	3	1	12	39	13	13	3	28	7	9	1	1	4	4	3	1
ENSG00000233954	30	15	23	41	53	22	20	55	25	32	18	16	29	34	36	24
ENSG00000174950	8	5	5	4	11	6	8	30	12	6	13	7	7	16	4	13
ENSG00000235282	1	0	0	0	2	2	1	3	2	2	0	6	1	2	0	0
ENSG00000055070	123	36	46	167	324	59	110	169	274	369	112	93	198	584	491	185
ENSG00000225891	2	0	1	2	4	2	2	12	4	8	1	6	0	13	3	4
ENSG00000175087	7	5	18	21	22	20	27	39	14	65	8	8	17	53	24	27
ENSG00000171735	70	54	85	118	147	150	98	299	121	221	84	73	116	170	208	158
ENSG00000157191	151	60	66	119	366	79	93	177	168	410	86	79	265	300	437	139
ENSG00000270733	2	0	2	0	1	3	2	1	0	3	0	1	1	0	1	0
ENSG00000284699	1	0	1	7	0	2	2	23	0	1	2	1	5	3	1	12
ENSG00000133226	102	46	64	88	184	106	103	167	290	444	159	69	270	444	474	257
ENSG00000229985	19	28	39	116	46	37	11	50	10	5	3	17	2	5	1	7
ENSG00000162482	16	10	6	16	29	25	29	87	40	18	14	21	21	35	19	16
ENSG00000230035	0	0	0	0	0	0	2	22	0	0	0	0	0	1	0	0
ENSG00000235185	6	0	1	3	2	4	0	4	1	1	0	1	1	1	0	1
ENSG00000236782	7	3	3	3	10	6	2	30	2	8	2	5	2	11	4	7
ENSG00000215910	40	25	83	50	53	105	77	292	42	33	20	33	34	85	60	37
ENSG00000116663	41	8	17	29	69	37	69	84	70	125	39	38	59	145	135	119
ENSG00000225643	5	3	5	7	7	6	1	19	2	2	2	1	2	5	3	1
ENSG00000215695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	1	1	1	15	0	0	0	0	0	3	0	0
ENSG00000243659	0	1	5	0	3	3	1	6	1	0	0	0	0	3	7	2
ENSG00000240553	1	0	15	1	2	2	5	7	4	1	8	3	9	4	0	23
ENSG00000228943	2	1	2	4	3	0	5	6	1	0	2	1	2	0	0	5
ENSG00000215906	13	17	10	19	31	30	26	68	28	18	11	9	6	12	28	12
ENSG00000230703	0	0	2	4	1	0	0	3	0	0	0	0	0	2	0	1
ENSG00000188822	18	16	30	35	52	35	29	76	21	16	16	9	15	104	18	33
ENSG00000232848	8	8	10	28	13	20	14	74	9	6	8	9	4	5	1	11
ENSG00000234397	1	1	0	3	1	0	3	9	3	0	0	0	0	3	1	1
ENSG00000090273	107	52	83	107	269	53	103	223	159	313	103	53	180	236	281	90
ENSG00000284309	3	2	2	3	0	0	4	2	0	0	1	2	1	3	0	13
ENSG00000227868	11	5	19	7	8	26	8	31	12	3	3	8	2	0	6	10
ENSG00000269925	1	0	1	1	2	0	0	0	0	2	0	0	1	4	11	4
ENSG00000142751	44	14	17	33	75	32	20	109	77	122	35	31	39	133	102	44
ENSG00000189266	60	20	11	57	214	43	81	60	162	611	86	58	137	469	419	142
ENSG00000162511	533	94	118	403	1915	216	597	431	1521	1090	312	295	1402	4257	4417	1013
ENSG00000158014	11	8	10	8	21	38	12	52	39	13	7	5	4	20	8	15
ENSG00000204138	125	137	113	279	250	150	117	298	102	152	81	90	115	222	187	161
ENSG00000233419	1	3	0	11	4	9	3	10	1	4	0	0	2	0	5	3
ENSG00000235263	7	8	12	13	6	6	13	39	2	1	6	0	5	11	2	11
ENSG00000228176	1	0	0	0	2	3	1	13	0	0	0	0	1	0	2	0
ENSG00000229106	7	8	5	5	6	11	6	26	5	5	5	7	5	18	8	8
ENSG00000236155	19	19	24	55	14	28	23	119	23	7	4	16	27	48	6	18
ENSG00000231251	1	1	12	1	3	2	2	3	8	0	0	0	2	0	1	2
ENSG00000142675	41	21	45	39	45	76	45	172	77	55	43	37	26	88	38	69
ENSG00000197245	5	6	0	2	3	18	10	21	8	15	7	10	10	21	7	35
ENSG00000231949	0	0	1	2	0	1	1	5	3	0	0	0	1	0	0	1
ENSG00000261025	2	0	7	6	3	9	8	31	1	0	0	2	5	5	0	4
ENSG00000116237	24	11	17	28	57	27	22	68	39	224	25	16	41	86	129	41
ENSG00000158195	243	68	83	146	793	91	162	171	450	1717	158	80	342	1015	1498	381
ENSG00000130772	25	54	47	114	100	36	16	52	38	68	13	12	37	36	72	37
ENSG00000215899	3	2	1	2	5	6	1	5	3	0	1	2	6	1	0	1
ENSG00000237429	3	2	3	2	2	1	3	5	6	3	0	1	5	15	0	8
ENSG00000271398	15	22	29	41	13	24	13	37	13	0	10	6	8	6	7	9
ENSG00000225011	1	0	0	1	5	2	0	8	1	3	1	3	1	4	4	0
ENSG00000215905	2	0	0	0	1	1	0	1	3	3	0	0	1	1	2	6
ENSG00000240731	2	0	1	0	12	0	0	2	1	10	2	0	0	10	7	5
ENSG00000235069	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0
ENSG00000172746	7	4	8	6	8	3	12	30	2	4	3	9	3	3	1	8
ENSG00000284676	0	0	0	6	3	8	3	24	0	1	0	3	0	1	1	2
ENSG00000237058	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0
ENSG00000204160	46	26	59	56	225	83	72	217	316	185	56	54	68	335	1293	107
ENSG00000233399	2	1	6	5	2	15	2	25	2	0	0	3	5	3	2	5
ENSG00000090020	71	22	62	74	110	98	97	234	99	130	46	32	73	123	218	125
ENSG00000225990	2	2	3	1	5	3	1	5	1	0	0	0	3	4	0	5
ENSG00000157978	108	58	59	55	237	98	102	171	191	209	126	59	84	193	456	99
ENSG00000226944	3	1	4	2	1	4	1	7	0	1	3	0	2	1	0	2
ENSG00000158246	33	10	28	33	26	37	66	114	9	6	6	8	18	23	9	28
ENSG00000270282	1	1	2	7	0	0	4	10	1	0	0	3	0	1	0	2
ENSG00000130770	106	39	34	117	216	56	91	127	123	775	108	72	288	221	224	77
ENSG00000117305	54	28	49	89	68	56	116	228	61	121	54	35	85	80	120	67
ENSG00000235131	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0
ENSG00000229044	0	0	0	1	2	0	2	7	0	1	1	0	0	0	0	1
ENSG00000162512	15	10	11	15	28	45	15	156	40	73	15	7	18	65	53	80
ENSG00000179840	6	9	7	13	10	11	6	42	13	27	8	12	7	27	73	8
ENSG00000272449	14	7	7	14	50	9	12	37	20	20	18	5	31	55	38	16
ENSG00000214973	5	3	4	28	15	11	2	15	41	14	3	11	4	5	1	7
ENSG00000198746	32	19	33	45	91	44	14	84	56	89	24	35	39	156	98	50
ENSG00000158006	49	46	40	114	122	76	50	144	43	56	46	24	42	88	76	56
ENSG00000188529	60	18	21	38	224	42	90	79	186	433	55	66	126	506	361	199
ENSG00000214812	10	15	9	33	11	15	5	33	11	6	4	7	5	4	9	7
ENSG00000142784	94	37	59	146	199	69	73	224	203	768	76	49	83	281	560	123
ENSG00000230023	2	1	8	13	2	11	10	38	2	1	4	3	0	11	2	5
ENSG00000227950	4	2	9	7	2	3	19	18	0	0	11	0	4	1	1	7
ENSG00000117682	72	51	58	73	84	108	39	138	111	125	65	49	77	96	137	96
ENSG00000175793	7	7	5	22	18	34	9	86	42	19	7	14	11	29	49	10
ENSG00000126698	66	43	29	114	224	46	51	87	151	420	91	52	192	244	350	111
ENSG00000229447	2	7	9	8	1	2	5	8	5	6	0	0	7	3	3	6
ENSG00000229607	0	0	0	1	0	0	1	1	2	2	0	0	0	0	0	0
ENSG00000229994	18	6	21	29	28	7	3	25	6	5	4	7	4	15	6	4
ENSG00000130766	57	65	51	161	110	84	67	221	122	92	45	31	37	78	537	87
ENSG00000168528	25	32	39	47	77	65	36	176	66	72	12	24	29	44	45	38
ENSG00000196581	18	28	66	40	57	90	31	118	59	49	37	42	32	34	48	64
ENSG00000169403	158	40	97	194	291	79	44	179	441	271	35	50	308	216	1575	286
ENSG00000117676	223	72	53	143	532	129	139	367	429	769	142	90	296	521	1530	225
ENSG00000198830	122	36	35	88	477	30	180	117	293	1863	233	98	525	871	997	193
ENSG00000225126	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ENSG00000084628	26	17	26	34	18	37	26	114	9	12	7	15	8	39	5	21
ENSG00000060688	43	53	38	105	97	65	37	87	61	205	40	35	78	110	135	76
ENSG00000236335	0	0	0	0	2	4	1	9	0	1	0	0	3	0	0	1
ENSG00000171612	13	13	29	24	36	19	16	60	42	34	21	13	37	98	55	45
ENSG00000241169	2	0	2	6	2	2	2	7	4	0	1	0	1	3	4	1
ENSG00000278572	7	12	8	32	6	19	12	42	3	1	5	0	2	8	5	7
ENSG00000227001	5	2	3	9	8	15	3	15	24	14	7	11	11	14	10	8
ENSG00000270927	0	0	2	2	0	0	8	17	1	1	0	3	2	0	0	4
ENSG00000226698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284744	8	17	32	36	21	15	20	77	5	0	9	3	8	0	2	8
ENSG00000162458	30	35	50	75	49	79	55	204	22	16	14	23	26	121	29	50
ENSG00000188910	7	7	3	5	14	31	6	39	29	30	10	14	6	8	11	16
ENSG00000230523	3	0	1	2	3	2	5	22	6	0	1	0	1	1	0	1
ENSG00000186056	6	1	3	2	12	5	6	23	13	9	0	2	1	17	13	15
ENSG00000116138	53	48	80	133	134	65	63	151	47	64	44	50	45	68	121	85
ENSG00000231207	0	1	5	0	0	1	2	5	0	3	1	1	0	4	2	1
ENSG00000142765	249	88	73	137	482	112	263	219	301	331	439	78	232	643	578	112
ENSG00000158161	58	67	47	128	163	80	44	115	81	154	35	60	49	86	156	67
ENSG00000270330	7	5	8	17	3	12	24	41	2	1	0	6	17	1	1	6
ENSG00000142684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000060642	22	10	14	17	42	51	15	92	37	90	26	38	25	46	79	38
ENSG00000224064	4	1	7	4	2	5	6	11	0	1	2	0	1	5	1	3
